market,month,lastDate,recommendationStage,legacyRecommendationStage,baselineStage,mirofishStage,confidenceTier,confidenceRank,symbol,code,name,marketType,setupScore,mirofishAdjustedScore,mirofishScore,mirofishLabel,mirofishBonus,mirofishConfidence,mirofishConsensusStrength,mirofishDisagreement,mirofishAgentScores,passesBaseline,passesMirofish,monthlyReturn,relativeReturn,volumeRatio,recentVolumeRatio,mfi,mfiReversalRisk,monthHighDrawdown,recentWorstDailyReturn,eventPriceLockRisk,speculativeBiotechRisk,next1wReturn,next1wReturnExcess,next1mReturn,next1mReturnExcess,next3mReturn,next3mReturnExcess,next6mReturn,next6mReturnExcess
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,489790.KS,489790,한화비전,KOSPI,100,100,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,37.64,13.67,2.05,2.57,83.57,false,-4.04,-3.88,false,false,8.09,10.68,38.83,31.93,34.3,-9.06,,
kr,2026-02,2026-02-27,watch,watch,watch,watch,,0,489790.KS,489790,한화비전,KOSPI,88,91,0.1316,중립,3,0.603,0.6053,0.0513,"{""macro"":0.0961,""growth"":-0.0016,""semiconductor"":-0.0528,""korea"":0.099,""risk"":0.0368}",true,true,64.23,38.08,3.29,4.99,87.33,false,-9.53,-5.72,false,false,-6.91,8.98,-16.86,2.22,-20.73,-61.68,,
kr,2026-05,2026-05-29,watch,watch,watch,watch,,0,064400.KS,064400,LG씨엔에스,KOSPI,100,100,0.5179,순풍,12,0.8203,0.8579,0.0447,"{""macro"":0.4579,""growth"":0.4481,""semiconductor"":0.5957,""korea"":0.4498,""risk"":0.4937}",true,true,70.1,41.97,2.47,3.29,82.45,false,0,-7.4,false,false,-6.41,5.29,,,,,,
kr,2025-10,2025-10-31,watch,watch,watch,watch,,0,417200.KQ,417200,LS머트리얼즈,KOSDAQ,100,100,0.4398,순풍,7,0.7425,0.7702,0.057,"{""macro"":0.3218,""growth"":0.2999,""semiconductor"":0.4298,""korea"":0.4416,""risk"":0.3247}",true,true,34.81,29.19,3.8,8.28,92.82,false,-2.69,-1.15,false,false,-2.99,-0.36,-12.31,-14.75,19.03,-2.95,98.51,64.38
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,417200.KQ,417200,LS머트리얼즈,KOSDAQ,100,100,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,42.28,18.08,2.23,4.51,93.42,false,-2.09,2.88,false,false,-17.83,-11.86,-2.37,-2.82,55.22,50.89,,
kr,2026-03,2026-03-31,watch,watch,watch,watch,,0,475150.KS,475150,SK이터닉스,KOSPI,88,88,0.009,중립,0,0.5829,0.5829,0.0555,"{""macro"":0.0344,""growth"":0.0336,""semiconductor"":0.0329,""korea"":-0.1513,""risk"":0.0251}",true,true,88.54,107.63,4.76,1.9,85.42,false,-18.96,-6.27,false,false,7.73,-1.02,8.66,-23.77,,,,
kr,2025-01,2025-01-31,watch,watch,watch,watch,,0,437730.KQ,437730,삼현,KOSDAQ,100,100,0.082,중립,0,0.6201,0.6209,0.0331,"{""macro"":-0.0216,""growth"":0.027,""semiconductor"":-0.0675,""korea"":0.0082,""risk"":0.0315}",true,true,98.87,91.79,9.07,4.34,92.94,false,-5.93,0.1,false,false,6.47,4.46,16.25,14.93,6.63,7.51,-2.18,-11.84
kr,2025-02,2025-02-28,watch,watch,watch,watch,,0,457190.KS,457190,이수스페셜티케미컬,KOSPI,100,100,-0.0311,중립,0,0.5958,0.6004,0.0664,"{""macro"":-0.0206,""growth"":-0.0086,""semiconductor"":-0.0957,""korea"":-0.2022,""risk"":0.0034}",true,true,86.59,86.75,2.01,3.57,100,false,-4.19,0.18,false,false,-18.44,-19.92,-32.03,-31.58,-35.31,-44.71,-30.94,-56.67
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,457190.KS,457190,이수스페셜티케미컬,KOSPI,100,100,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,79.73,55.76,3.12,2.07,86.58,false,-5.84,-1.79,false,false,-6.02,-3.43,-1.22,-8.12,10.62,-32.75,,
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,420770.KQ,420770,기가비스,KOSDAQ,88,95,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,71.11,46.91,3.64,2.42,89.55,false,-15.12,-2.88,false,false,8.53,14.51,32.28,31.83,94.81,90.48,,
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,403870.KQ,403870,HPSP,KOSDAQ,100,100,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,38.81,14.61,4.35,4.3,87.92,false,-4.71,0.8,false,false,-1.4,4.58,2.9,2.45,17.63,13.31,,
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,347700.KQ,347700,스피어,KOSDAQ,100,100,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,98.83,74.63,4.54,2.69,81.42,false,-5.88,-2.81,false,false,37.32,43.29,70.22,69.77,49.08,44.75,,
kr,2025-10,2025-10-31,watch,watch,watch,watch,,0,277810.KQ,277810,레인보우로보틱스,KOSDAQ,100,100,0.4398,순풍,7,0.7425,0.7702,0.057,"{""macro"":0.3218,""growth"":0.2999,""semiconductor"":0.4298,""korea"":0.4416,""risk"":0.3247}",true,true,36.62,31,2.03,3.36,84.62,false,-3.75,0.29,false,false,-7.33,-4.71,-2.52,-4.96,63.12,41.13,79.61,45.48
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,277810.KQ,277810,레인보우로보틱스,KOSDAQ,88,95,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,54.73,30.53,1.88,2.94,90.23,false,-7.26,-4.27,false,false,-9.62,-3.64,14.29,13.83,-4.26,-8.59,,
kr,2025-11,2025-11-28,watch,watch,watch,watch,,0,326030.KS,326030,에스케이바이오팜,KOSPI,88,95,0.3665,순풍,7,0.7733,0.7979,0.0224,"{""macro"":0.3054,""growth"":0.3431,""semiconductor"":0.3117,""korea"":0.2821,""risk"":0.3483}",true,true,23.28,27.2,1.95,2.09,80.74,false,-2.98,-1.14,false,false,-4.15,-8.57,-10.87,-18.2,-26.39,-68.63,-34.26,-140.47
kr,2025-07,2025-07-31,watch,watch,watch,watch,,0,357780.KQ,357780,솔브레인,KOSDAQ,88,88,0.0592,중립,0,0.6335,0.6365,0.0315,"{""macro"":-0.0018,""growth"":-0.0427,""semiconductor"":-0.1172,""korea"":-0.0016,""risk"":-0.0409}",true,true,30.49,27.55,1.85,4.18,82.53,false,-6.86,-4.43,false,false,-1.68,-1.75,-12.84,-10.33,14.11,2.1,73.05,35.4
kr,2025-07,2025-07-31,watch,watch,watch,watch,,0,353200.KS,353200,대덕전자,KOSPI,100,100,0.0293,중립,0,0.6335,0.6365,0.0315,"{""macro"":-0.0018,""growth"":-0.0427,""semiconductor"":-0.1172,""korea"":-0.0016,""risk"":-0.0409}",true,true,40.09,34.55,2.11,5.96,93.64,false,-3.43,-1.93,false,false,-6.9,-6.36,-1.26,1.9,80.75,57.37,145.19,86.09
kr,2025-05,2025-05-30,watch,watch,watch,watch,,0,322000.KS,322000,HD현대에너지솔루션,KOSPI,88,95,0.2835,중립,7,0.7483,0.7675,0.0185,"{""macro"":0.2471,""growth"":0.2517,""semiconductor"":0.2542,""korea"":0.1969,""risk"":0.2806}",true,true,66.38,60.54,5.51,4.01,84.41,false,-16.09,-11.47,false,false,-1.04,-7.49,-7.15,-21.14,-12.02,-28.53,10.88,-38.45
kr,2026-02,2026-02-27,watch,watch,watch,watch,,0,322000.KS,322000,HD현대에너지솔루션,KOSPI,100,100,0.1231,중립,3,0.603,0.6053,0.0513,"{""macro"":0.0961,""growth"":-0.0016,""semiconductor"":-0.0528,""korea"":0.099,""risk"":0.0368}",true,true,89.44,63.28,8.73,4.89,85.6,false,0,-5.91,false,false,1.83,17.72,33.75,52.83,56.83,15.87,,
kr,2026-03,2026-03-31,confirmed,confirmed,confirmed,confirmed,high,2,322000.KS,322000,HD현대에너지솔루션,KOSPI,100,100,0.0151,중립,0,0.5829,0.5829,0.0555,"{""macro"":0.0344,""growth"":0.0336,""semiconductor"":0.0329,""korea"":-0.1513,""risk"":0.0251}",true,true,33.75,52.83,6.55,2.06,90.94,false,-7.82,-4.2,false,false,21.35,12.6,54.92,22.5,,,,
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,323280.KQ,323280,태성,KOSDAQ,96,100,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,67.19,42.99,1.5,2.45,88.61,false,-3.25,0.56,false,false,-1.61,4.36,3.36,2.91,6.72,2.39,,
kr,2025-08,2025-08-29,watch,watch,watch,watch,,0,336260.KS,336260,두산퓨얼셀,KOSPI,100,100,0.0921,중립,0,0.6265,0.6281,0.0317,"{""macro"":0.088,""growth"":0.0194,""semiconductor"":-0.0323,""korea"":0.0061,""risk"":0.0436}",true,true,18.18,20.29,2.28,3.03,88.07,false,-8.77,-2.36,false,false,-12.41,-13.01,1.92,-5.77,12.06,-14.63,43.71,-32.37
kr,2025-10,2025-10-31,watch,watch,watch,watch,,0,336260.KS,336260,두산퓨얼셀,KOSPI,88,95,0.4398,순풍,7,0.7425,0.7702,0.057,"{""macro"":0.3218,""growth"":0.2999,""semiconductor"":0.4298,""korea"":0.4416,""risk"":0.3247}",true,true,46.48,28.15,2.85,6.48,88.2,false,-7.17,-2.73,false,false,-14.87,-11.13,-26.7,-22.14,-25.06,-45.56,102.11,19.56
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,319660.KQ,319660,피에스케이,KOSDAQ,94,100,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,66.67,42.47,1.29,2.17,81.03,false,-4.95,1.68,false,false,-10.08,-4.11,16.1,15.64,73.17,68.84,,
kr,2025-12,2025-12-30,watch,watch,watch,watch,,0,319400.KQ,319400,현대무벡스,KOSDAQ,88,95,0.3095,중립,7,0.7373,0.7566,0.0251,"{""macro"":0.2821,""growth"":0.2363,""semiconductor"":0.2256,""korea"":0.2308,""risk"":0.2859}",true,true,99.68,98.28,5.05,3.36,96.04,true,-9.66,-7.67,false,false,19.48,17.47,77.75,53.55,34.38,21.21,,
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,100790.KQ,100790,미래에셋벤처투자,KOSDAQ,88,95,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,41.37,17.16,2.37,3.74,85.69,false,-9.04,-8.33,false,false,40.06,46.03,26.7,26.25,204.55,200.22,,
kr,2026-03,2026-03-31,watch,watch,watch,watch,,0,100790.KQ,100790,미래에셋벤처투자,KOSDAQ,88,88,0.009,중립,0,0.5829,0.5829,0.0555,"{""macro"":0.0344,""growth"":0.0336,""semiconductor"":0.0329,""korea"":-0.1513,""risk"":0.0251}",true,true,22.43,34.2,1.85,4.76,81.05,false,-19.06,-10.54,false,false,-0.37,1.11,113.08,97.13,,,,
kr,2025-01,2025-01-31,watch,watch,watch,watch,,0,108490.KQ,108490,로보티즈,KOSDAQ,100,100,0.082,중립,0,0.6201,0.6209,0.0331,"{""macro"":-0.0216,""growth"":0.027,""semiconductor"":-0.0675,""korea"":0.0082,""risk"":0.0315}",true,true,104.59,97.5,15.75,6.6,86.27,false,-2.53,-3.44,false,false,-11.57,-13.58,-24.09,-25.4,-19.48,-18.6,94.33,84.68
kr,2025-09,2025-09-30,watch,watch,watch,watch,,0,108490.KQ,108490,로보티즈,KOSDAQ,100,100,0.313,중립,7,0.7176,0.7399,0.0504,"{""macro"":0.2579,""growth"":0.2708,""semiconductor"":0.4123,""korea"":0.2157,""risk"":0.2942}",true,true,87.74,80.48,3.19,2.42,84.13,false,-3.78,-5.88,false,false,15.31,14.6,50.9,43.79,58.37,45.85,52.77,22.88
kr,2025-03,2025-03-31,watch,watch,watch,watch,,0,089970.KQ,089970,브이엠,KOSDAQ,88,84,-0.2475,중립,-4,0.7366,0.7628,0.055,"{""macro"":-0.2833,""growth"":-0.3154,""semiconductor"":-0.3787,""korea"":-0.4523,""risk"":-0.297}",true,true,17.51,30.22,2.66,2.69,89.05,false,-8.64,-3.23,false,false,-10.79,-7.59,10.53,2.56,11.78,-6.13,60.57,34.94
kr,2025-09,2025-09-30,confirmed,confirmed,confirmed,confirmed,standard,1,089970.KQ,089970,브이엠,KOSDAQ,88,95,0.313,중립,7,0.7176,0.7399,0.0504,"{""macro"":0.2579,""growth"":0.2708,""semiconductor"":0.4123,""korea"":0.2157,""risk"":0.2942}",true,true,40,32.74,4.85,2.14,89.13,false,-7.89,-4.85,false,false,21.14,20.43,36,28.89,73.71,61.2,162.86,132.97
kr,2025-02,2025-02-28,watch,watch,watch,watch,,0,226950.KQ,226950,올릭스,KOSDAQ,100,100,-0.0311,중립,0,0.5958,0.6004,0.0664,"{""macro"":-0.0206,""growth"":-0.0086,""semiconductor"":-0.0957,""korea"":-0.2022,""risk"":0.0034}",true,true,316.43,314.34,3.1,2.84,84.91,false,-1.51,0.18,false,false,-21.94,-19.5,-30.19,-23.13,-12.07,-12.91,38.78,31.67
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,281740.KQ,281740,레이크머티리얼즈,KOSDAQ,100,100,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,81.36,57.16,5.45,7.36,96.79,false,-5.98,0.61,false,false,-12.34,-6.36,-15.89,-16.34,-14.77,-19.09,,
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,298020.KS,298020,효성티앤씨,KOSPI,88,95,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,69.66,45.69,4.56,2.68,81.19,false,-6.79,-4.43,false,false,1.99,4.58,-13.38,-20.28,27.95,-15.42,,
kr,2025-11,2025-11-28,watch,watch,watch,watch,,0,950160.KQ,950160,코오롱티슈진,KOSDAQ,100,100,0.3665,순풍,7,0.7733,0.7979,0.0224,"{""macro"":0.3054,""growth"":0.3431,""semiconductor"":0.3117,""korea"":0.2821,""risk"":0.3483}",true,true,94.75,92.31,2.43,3.43,91.83,false,-3.39,-2.48,false,false,-6.32,-7.65,-6.79,-8.19,32.32,5.8,20.49,14.45
kr,2025-05,2025-05-30,confirmed,confirmed,confirmed,confirmed,high,2,003380.KQ,003380,하림지주,KOSDAQ,100,100,0.295,중립,7,0.7483,0.7675,0.0185,"{""macro"":0.2471,""growth"":0.2517,""semiconductor"":0.2542,""korea"":0.1969,""risk"":0.2806}",true,true,44.44,42.37,3.62,3.3,94.49,false,-1.83,-3.4,false,false,6.29,1.28,18.18,11.67,-1.86,-8.76,6.76,-19.86
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,003380.KQ,003380,하림지주,KOSDAQ,100,100,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,35.65,11.45,2.64,4.92,82.64,false,-9.48,-3.98,false,false,7.14,13.12,11.65,11.2,-11.44,-15.77,,
kr,2025-05,2025-05-30,watch,watch,watch,watch,,0,267250.KS,267250,HD현대,KOSPI,100,100,0.295,중립,7,0.7483,0.7675,0.0185,"{""macro"":0.2471,""growth"":0.2517,""semiconductor"":0.2542,""korea"":0.1969,""risk"":0.2806}",true,true,44.32,38.48,1.85,4.82,95.61,false,-3.87,-0.34,false,false,9.13,2.67,12.26,-1.72,22.92,6.41,85.77,36.43
kr,2026-01,2026-01-30,watch,watch,watch,watch,,0,178320.KQ,178320,서진시스템,KOSDAQ,88,95,0.3066,중립,7,0.7273,0.745,0.0273,"{""macro"":0.2125,""growth"":0.1807,""semiconductor"":0.2583,""korea"":0.2554,""risk"":0.2458}",true,true,50.79,26.59,2.82,3.74,92.71,false,-5.57,-1.7,false,false,-11.53,-5.56,22.28,21.83,78.51,74.18,,
kr,2025-01,2025-01-31,watch,watch,watch,watch,,0,229640.KS,229640,LS에코에너지,KOSPI,88,88,0.0571,중립,0,0.6201,0.6209,0.0331,"{""macro"":-0.0216,""growth"":0.027,""semiconductor"":-0.0675,""korea"":0.0082,""risk"":0.0315}",true,true,43.97,40.82,3.71,3.38,90.7,false,-11.6,-2.89,false,false,-6.28,-6.47,-17.75,-18.21,-28.89,-30.57,-8.82,-35.86
kr,2026-04,2026-04-30,watch,watch,watch,watch,,0,229640.KS,229640,LS에코에너지,KOSPI,88,99,0.4978,순풍,11,0.7927,0.8327,0.0771,"{""macro"":0.4573,""growth"":0.4751,""semiconductor"":0.6877,""korea"":0.4129,""risk"":0.5169}",true,true,96.39,75.95,2,3.12,94.36,true,-6.65,-4.18,false,false,1.49,-17.05,-27.32,-58.25,,,,
kr,2025-09,2025-09-30,confirmed,confirmed,confirmed,confirmed,high,2,222800.KQ,222800,심텍,KOSDAQ,100,100,0.313,중립,7,0.7176,0.7399,0.0504,"{""macro"":0.2579,""growth"":0.2708,""semiconductor"":0.4123,""korea"":0.2157,""risk"":0.2942}",true,true,76.91,69.65,2.05,2.38,90.07,false,-2.17,-2.29,false,false,13.75,13.04,53.85,46.73,1.52,-11,58.74,28.85
kr,2026-05,2026-05-29,confirmed,confirmed,confirmed,confirmed,high,2,018260.KS,018260,삼성에스디에스,KOSPI,100,100,0.5179,순풍,12,0.8203,0.8579,0.0447,"{""macro"":0.4579,""growth"":0.4481,""semiconductor"":0.5957,""korea"":0.4498,""risk"":0.4937}",true,true,76.09,47.95,3.76,6.72,89.36,false,-7,-4.97,false,false,-21.07,-9.37,,,,,,
kr,2025-07,2025-07-31,watch,watch,watch,watch,,0,131970.KQ,131970,두산테스나,KOSDAQ,88,88,0.0592,중립,0,0.6335,0.6365,0.0315,"{""macro"":-0.0018,""growth"":-0.0427,""semiconductor"":-0.1172,""korea"":-0.0016,""risk"":-0.0409}",true,true,27.7,24.75,3.39,12.38,88.47,false,-12.75,-3.99,false,false,4.31,4.24,5.38,7.9,46,34,90.77,53.12
