date,portfolioAction,portfolioConfidence,portfolioExposure,portfolioFixedExposure,portfolioScore,portfolioCoverage,portfolioRecoveryScore,marketAction,marketConfidence,marketExposure,marketScore,marketRecoveryScore,closeToCloseReturn,nextOpenReturn,nextCloseReturn,nextDayReturn,strategyReturn,forwardReturn5d,forwardReturn20d,forwardReturn60d
2023-01-02,보유,위험 경계,0.55,0.6,-40,51.8,-0.4006,홀딩,위험 경계,0.6,-18,-0.3906,0.9644,0.8909,2.0883,0.8909,0.8909,7.4106,14.2405,23.4543
2023-01-03,보유,위험 경계,0.5565,0.6,-29,51.8,-0.617,매도,약한 빨간색,0.2,-25,-0.6958,2.0883,4.2954,1.6324,4.2954,4.2954,7.642,13.9488,19.9721
2023-01-04,보유,위험 경계,0.5685,0.6,-21,51.8,-0.4848,홀딩,위험 경계,0.6,-15,-0.5036,1.6324,-0.3098,0.0186,-0.3098,-0.3098,4.0499,7.7405,14.1049
2023-01-05,보유,위험 경계,0.564,0.6,-24,51.8,-0.5283,홀딩,위험 경계,0.6,-22,-0.6302,0.0186,2.1449,2.2292,2.1449,2.1449,4.186,9.2953,13.7263
2023-01-06,보유,중립,0.5895,0.6,-7,51.8,-0.1954,홀딩,중립,0.6,4,-0.1818,2.2292,0.2199,0.6008,0.2199,0.2199,1.9386,7.6872,10.5164
2023-01-09,보유,녹색 대기,0.6194999999999999,0.6,13,51.8,-0.0474,홀딩,녹색 대기,0.6,16,-0.0599,0.6008,1.1191,0.7027,1.1191,1.1191,1.799,8.191,11.5967
2023-01-10,보유,중립,0.594,0.6,-4,51.8,-0.1694,홀딩,중립,0.6,0,-0.2099,0.7027,0.8234,0.142,0.8234,0.8234,0.2768,7.1287,11.2393
2023-01-11,보유,중립,0.5985,0.6,-1,51.8,-0.2435,홀딩,중립,0.6,6,-0.301,0.142,-0.1785,0.0037,-0.1785,-0.1785,-0.8792,4.9275,11.5226
2023-01-12,보유,중립,0.618,0.6,12,51.8,-0.0258,홀딩,녹색 대기,0.6,18,-0.0333,0.0037,-0.0545,0.2805,-0.0545,-0.0545,-0.3449,6.0335,12.0654
2023-01-13,보유,녹색 대기,0.63,0.6,20,51.8,0.1802,홀딩,녹색 대기,0.6,36,0.2469,0.2805,0.0867,-0.2429,0.0867,0.0867,1.7818,6.9376,10.9952
2023-01-16,보유,녹색 대기,0.6315,0.6,21,51.8,0.2022,홀딩,녹색 대기,0.6,36,0.2469,-0.2429,-0.395,-0.1897,-0.395,-0.395,3.4348,6.7617,11.2339
2023-01-17,분할 매수,약한 녹색,1,1,35,51.8,0.3946,신규 매수,강한 녹색,1,49,0.4833,-0.1897,-0.3439,0.0996,-0.3439,-0.3439,4.3609,5.8481,9.7545
2023-01-18,보유,녹색 대기,0.6435,0.6,29,51.8,0.3212,홀딩,녹색 대기,0.6,31,0.3906,0.0996,0.3705,0.0885,0.3705,0.3705,4.4906,7.2912,10.3264
2023-01-19,보유,중립,0.5985,0.6,-1,51.8,-0.0269,홀딩,중립,0.6,7,-0.051,0.0885,2.0965,3.1289,2.0965,2.0965,2.4537,6.8655,9.766
2023-01-20,분할 매수,약한 녹색,1,1,30,51.8,0.4547,신규 매수,강한 녹색,1,47,0.5938,3.1289,1.7117,1.1085,1.7117,1.7117,0.3849,2.7487,6.9561
2023-01-25,분할 매수,약한 녹색,1,1,41,51.8,0.5408,신규 매수,강한 녹색,1,54,0.6443,1.1085,0.4961,-0.0749,0.4961,0.4961,0.9962,0.5035,5.1078
2023-01-26,분할 매수,강한 녹색,1,1,50,51.8,0.756,신규 매수,강한 녹색,1,73,0.9255,-0.0749,-0.2292,-0.9979,-0.2292,-0.2292,1.1241,2.9493,4.7398
2023-01-27,분할 매수,강한 녹색,1,1,46,51.8,0.6942,신규 매수,강한 녹색,1,66,0.8333,-0.9979,-1.5936,-1.78,-1.5936,-1.5936,-0.0286,0.7673,4.3136
2023-01-30,분할 매수,약한 녹색,1,1,39,51.8,0.5405,신규 매수,강한 녹색,1,56,0.6536,-1.78,0.0401,1.2041,0.0401,0.0401,2.6972,2.8504,4.6788
2023-01-31,분할 매수,약한 녹색,1,1,40,51.8,0.5389,신규 매수,강한 녹색,1,54,0.6745,1.2041,2.3092,2.8666,2.3092,2.3092,3.3295,2.3478,4.942
2023-02-01,분할 매수,강한 녹색,1,1,48,51.8,0.7408,신규 매수,강한 녹색,1,60,0.9255,2.8666,0.6496,0.2698,0.6496,0.6496,1.7144,-0.0974,4.0357
2023-02-02,분할 매수,강한 녹색,1,1,51,51.8,0.6789,신규 매수,강한 녹색,1,65,0.8271,0.2698,-1.3775,-0.75,-1.3775,-1.3775,1.1863,-0.2571,3.8951
