date,portfolioAction,portfolioConfidence,portfolioExposure,portfolioFixedExposure,portfolioScore,portfolioCrisisMode,portfolioCrisisScore,portfolioCrisisShock,portfolioCrisisTailRisk,portfolioCoverage,portfolioRecoveryScore,marketAction,marketConfidence,marketExposure,marketScore,marketRecoveryScore,closeToCloseReturn,nextOpenReturn,nextCloseReturn,nextDayReturn,strategyReturn,forwardReturn5d,forwardReturn20d,forwardReturn60d
2024-07-09,분할 매수,강한 녹색,1,1,60,normal,0,0,0,79.3,0.6199,신규 매수,강한 녹색,1,67,0.6469,1.7585,2.301,0.5674,2.301,2.301,0.7173,-19.9705,-15.677
2024-07-10,분할 매수,강한 녹색,1,1,63,normal,0,0,0,79.3,0.6723,신규 매수,강한 녹색,1,72,0.7281,0.5674,-2.5063,-2.3153,-2.5063,-2.5063,-7.6945,-22.2457,-17.8225
2024-07-11,분할 매수,강한 녹색,1,1,59,normal,0,0,0,79.3,0.5613,신규 매수,강한 녹색,1,65,0.5828,-2.3153,0.3605,0.8034,0.3605,0.3605,-5.0953,-17.2792,-13.4814
2024-07-12,분할 매수,강한 녹색,1,1,64,normal,0,0,0,79.3,0.6339,신규 매수,강한 녹색,1,70,0.6703,0.8034,0.292,0.4295,0.292,0.292,-5.9058,-17.7831,-16.1907
2024-07-15,분할 매수,강한 녹색,1,1,52,normal,0,0,0,79.3,0.5029,신규 매수,강한 녹색,1,58,0.5094,0.4295,0.3716,-2.8819,0.3716,0.3716,-6.2117,-16.816,-16.5286
2024-07-16,분할 매수,강한 녹색,1,1,54,normal,0,0,0,79.3,0.5029,신규 매수,강한 녹색,1,61,0.5094,-2.8819,-6.2799,-2.6936,-6.2799,-6.2799,-5.7083,-16.1631,-15.5069
2024-07-17,분할 매수,약한 녹색,1,1,38,normal,0,0,0,79.3,0.2463,신규 매수,강한 녹색,1,45,0.224,-2.6936,0.2606,-0.4833,0.2606,0.2606,-1.6826,-8.1507,-10.8984
2024-07-18,분할 매수,약한 녹색,1,1,38,normal,0,0,0,79.3,0.2453,신규 매수,강한 녹색,1,47,0.2594,-0.4833,-0.4678,-2.5679,-0.4678,-0.4678,-4.9281,-7.0698,-11.2566
2024-07-19,보유,중립,0.8,0.6,10,normal,0,0,0,79.3,-0.0515,홀딩,녹색 대기,0.6,19,-0.1005,-2.5679,-0.0475,3.3051,-0.0475,-0.0475,-4.6136,-7.6519,-11.1128
2024-07-22,보유,녹색 대기,1,0.6,20,normal,0,0,0,79.3,0.0894,신규 매수,약한 녹색,1,44,0.1922,3.3051,1.0013,-0.3243,1.0013,1.0013,-5.2164,-8.3061,-11.3741
2024-07-23,보유,중립,0.8,0.6,8,normal,0,0,0,79.3,-0.1015,홀딩,녹색 대기,0.6,24,-0.1188,-0.3243,-2.2844,-5.3132,-2.2844,-2.2844,-7.5792,-7.6348,-11.7606
2024-07-24,보유,중립,0.8,0.6,-12,normal,0,0,0,79.3,-0.4323,홀딩,중립,0.6,-8,-0.5312,-5.3132,-3.0806,-0.6501,-3.0806,-3.0806,-1.1536,-7.3254,-9.3315
2024-07-25,보유,위험 경계,0.75,0.6,-25,normal,0,0,0,79.3,-0.4553,홀딩,중립,0.6,-9,-0.4818,-0.6501,-0.0504,0.5879,-0.0504,-0.0504,-3.4639,-4.1005,-6.5384
2024-07-26,보유,위험 경계,0.75,0.6,-16,normal,0,0,0,79.3,-0.2947,홀딩,중립,0.6,2,-0.2927,0.5879,-0.702,-2.0131,-0.702,-0.702,-11.2332,-7.0682,-6.2849
2024-07-29,보유,위험 경계,0.75,0.6,-20,normal,0,0,0,79.3,-0.4128,홀딩,중립,0.6,-2,-0.4255,-2.0131,-1.7997,0.546,-1.7997,-1.7997,-11.8861,-6.8541,-7.4436
2024-07-30,보유,위험 경계,0.75,0.6,-25,normal,0,0,0,79.3,-0.4719,홀딩,중립,0.6,-6,-0.5005,0.546,4.5787,1.4324,4.5787,4.5787,-8.7494,-7.5998,-7.2115
2024-07-31,보유,중립,0.8,0.6,-6,normal,0,0,0,79.3,-0.2079,홀딩,녹색 대기,0.6,24,-0.163,1.4324,-5.2981,-7.495,-5.2981,-5.2981,-13.3068,-11.0347,-10.8595
2024-08-01,보유,위험 경계,0.75,0.6,-16,normal,0,0,0,79.3,-0.439,홀딩,중립,0.6,2,-0.4812,-7.495,-8.0907,-9.4585,-8.0907,-8.0907,-4.9614,-4.5444,-4.2021
2024-08-02,비중 축소,약한 빨간색,0.05,0.2,-38,normal,1,0,0,79.3,-0.7249,매도,약한 빨간색,0.2,-23,-0.7849,-9.4585,-1.3745,6.3997,-1.3745,-1.3745,3.2286,2.5243,5.5879
2024-08-05,비중 축소,강한 빨간색,1,0.2,-68,elevated,3,1,0,79.3,-0.7766,매도,약한 빨간색,0.2,-49,-0.7995,6.3997,1.7912,1.7966,1.7912,1.7912,6.2414,-1.5322,8.6246
2024-08-06,보유,위험 경계,0.75,0.6,-48,elevated,3,0,0,79.3,-0.3567,홀딩,위험 경계,0.6,-39,-0.3252,1.7966,-0.7278,-2.4611,-0.7278,-0.7278,5.5981,-3.7552,8.0972
2024-08-07,비중 축소,강한 빨간색,1,0.2,-59,normal,2,0,0,79.3,-0.621,매도,약한 빨간색,0.2,-47,-0.6365,-2.4611,3.8689,3.2238,3.8689,3.8689,9.3634,-5.2148,9.4562
2024-08-08,보유,위험 경계,0.75,0.6,-41,normal,0,0,0,79.3,-0.4768,홀딩,위험 경계,0.6,-24,-0.4333,3.2238,-0.2269,1.0266,-0.2269,-0.2269,6.8444,-12.0528,4.6211
2024-08-09,비중 축소,약한 빨간색,0.05,0.2,-35,normal,0,0,0,79.3,-0.5312,홀딩,위험 경계,0.6,-27,-0.5286,1.0266,1.4919,-0.1941,1.4919,1.4919,5.8888,-8.7474,1.1684
2024-08-12,비중 축소,약한 빨간색,0.05,0.2,-38,normal,0,0,0,79.3,-0.5981,매도,약한 빨간색,0.2,-32,-0.6182,-0.1941,1.1564,1.9321,1.1564,1.1564,3.5157,-10.3428,-2.2983
2024-08-13,보유,위험 경계,0.75,0.6,-27,normal,0,0,0,79.3,-0.507,홀딩,중립,0.6,-11,-0.4854,1.9321,2.7689,4.1909,2.7689,2.7689,3.9449,-8.0814,-4.4486
2024-08-14,보유,위험 경계,0.75,0.6,-28,normal,0,0,0,79.3,-0.5728,홀딩,위험 경계,0.6,-15,-0.6021,4.1909,1.4789,-2.3082,1.4789,1.4789,-0.9634,-9.6242,-7.1735
2024-08-16,보유,위험 경계,0.75,0.6,-24,normal,0,0,0,79.3,-0.5452,홀딩,중립,0.6,-10,-0.5911,-2.3082,-1.0938,1.9142,-1.0938,-1.0938,-1.985,-12.0485,-9.0104
2024-08-19,보유,위험 경계,0.75,0.6,-16,normal,0,0,0,79.3,-0.4339,홀딩,중립,0.6,11,-0.4016,1.9142,-0.7587,-0.5683,-0.7587,-0.7587,-4.0114,-8.1403,-6.6378
2024-08-20,보유,위험 경계,0.75,0.6,-26,normal,0,0,0,79.3,-0.5017,홀딩,중립,0.6,0,-0.5,-0.5683,1.5637,-0.1403,1.5637,1.5637,-3.7416,-8.1995,-7.3169
2024-08-21,보유,위험 경계,0.75,0.6,-22,normal,0,0,0,79.3,-0.441,홀딩,중립,0.6,11,-0.4312,-0.1403,-2.0273,-1.189,-2.0273,-2.0273,-7.6644,-8.0849,-8.1126
2024-08-22,보유,위험 경계,0.75,0.6,-29,normal,0,0,0,79.3,-0.6235,홀딩,중립,0.6,-5,-0.6661,-1.189,0.417,-1.5912,0.417,0.417,-5.1305,-4.6321,-5.326
2024-08-23,보유,중립,0.8,0.6,-3,normal,0,0,0,79.3,-0.1783,홀딩,녹색 대기,0.6,28,-0.0812,-1.5912,-3.1356,-1.3587,-3.1356,-3.1356,-4.0134,-3.2941,-4.6141
2024-08-26,보유,위험 경계,0.75,0.6,-25,normal,0,0,0,79.3,-0.2252,홀딩,녹색 대기,0.6,16,-0.1302,-1.3587,-0.4756,0.8356,-0.4756,-0.4756,-2.2015,1.9577,-2.4138
2024-08-27,보유,위험 경계,0.75,0.6,-13,normal,0,0,0,79.3,-0.0855,홀딩,녹색 대기,0.6,27,0.0552,0.8356,-2.6174,-3.4031,-2.6174,-2.6174,-6.9316,0.5797,-3.9122
2024-08-28,보유,위험 경계,0.75,0.6,-30,normal,0,0,0,79.3,-0.5155,홀딩,중립,0.6,5,-0.5005,-3.4031,0.6476,1.8073,0.6476,0.6476,-4.9546,-0.0443,-2.0775
2024-08-29,보유,위험 경계,0.75,0.6,-28,normal,0,0,0,79.3,-0.3945,홀딩,녹색 대기,0.6,13,-0.3349,1.8073,1.5897,-0.9298,1.5897,1.5897,-7.7158,0.3603,-2.9418
2024-08-30,보유,녹색 대기,1,0.6,19,normal,0,0,0,79.3,0.4086,신규 매수,강한 녹색,1,58,0.6625,-0.9298,-1.3149,-1.0839,-1.3149,-1.3149,-12.4478,0.5453,-5.0282
