date,portfolioAction,portfolioConfidence,portfolioUpProbability,portfolioDownProbability,portfolioRegime,portfolioExposure,portfolioFixedExposure,portfolioScore,portfolioCrisisMode,portfolioCrisisScore,portfolioCrisisShock,portfolioCrisisTailRisk,portfolioCoverage,portfolioRecoveryScore,marketAction,marketConfidence,marketUpProbability,marketDownProbability,marketRegime,marketExposure,marketScore,marketRecoveryScore,closeToCloseReturn,nextOpenReturn,nextCloseReturn,nextDayReturn,strategyReturn,forwardReturn5d
2024-07-09,상승,강한 녹색,78,25,balanced,1,1,58,normal,0,0,0,73.5,0.6073,상승,강한 녹색,77,24,balanced,1,64,0.6347,1.5337,2.1125,0.5267,2.1125,2.1125,0.7679
2024-07-10,상승,강한 녹색,78,25,balanced,1,1,60,normal,0,0,0,73.5,0.6648,상승,강한 녹색,77,24,balanced,1,69,0.7202,0.5267,-2.277,-2.1146,-2.277,-2.277,-7.1241
2024-07-11,상승,강한 녹색,75,27,balanced,1,1,52,normal,0,0,0,73.5,0.481,상승,강한 녹색,73,26,balanced,1,56,0.4905,-2.1146,0.3265,0.8048,0.3265,0.3265,-4.7197
2024-07-12,상승,강한 녹색,77,25,balanced,1,1,57,normal,0,0,0,73.5,0.6279,상승,강한 녹색,75,24,balanced,1,61,0.6703,0.8048,0.3133,0.4701,0.3133,0.3133,-5.6365
2024-07-15,상승,약한 녹색,74,28,balanced,1,1,44,normal,0,0,0,73.5,0.4007,중립,녹색 대기,71,28,balanced,0.6,45,0.3894,0.4701,0.387,-2.6906,0.387,0.387,-5.7658
2024-07-16,상승,강한 녹색,77,26,balanced,1,1,51,normal,0,0,0,73.5,0.4826,상승,강한 녹색,76,25,balanced,1,57,0.4873,-2.6906,-5.9354,-2.5891,-5.9354,-5.9354,-5.4693
2024-07-17,중립,녹색 대기,61,35,balanced,1,0.6,24,normal,0,0,0,73.5,0.1477,중립,녹색 대기,59,35,balanced,0.6,25,0.1126,-2.5891,0.2817,-0.6027,0.2817,0.2817,-1.704
2024-07-18,중립,녹색 대기,63,34,balanced,1,0.6,28,normal,0,0,0,73.5,0.1306,중립,녹색 대기,62,32,balanced,0.6,32,0.122,-0.6027,-0.6032,-2.3495,-0.6032,-0.6032,-4.7283
2024-07-19,중립,녹색 대기,58,39,balanced,0.85,0.6,13,normal,0,0,0,73.5,0.032,중립,녹색 대기,63,34,balanced,0.6,23,0.0085,-2.3495,0.1581,3.0838,0.1581,0.1581,-4.4015
2024-07-22,중립,녹색 대기,65,34,balanced,1,0.6,15,normal,0,0,0,73.5,0.1221,중립,녹색 대기,67,29,balanced,0.6,35,0.2036,3.0838,0.8025,-0.2981,0.8025,0.8025,-5.0545
2024-07-23,중립,중립,61,36,balanced,0.8,0.6,12,normal,0,0,0,73.5,0.0104,중립,녹색 대기,66,32,balanced,0.6,27,0.0143,-0.2981,-2.1982,-5.0595,-2.1982,-2.1982,-7.1484
2024-07-24,중립,위험 경계,35,56,balanced,0.75,0.6,-17,normal,0,0,0,73.5,-0.4308,중립,위험 경계,37,53,balanced,0.6,-15,-0.5135,-5.0595,-2.8315,-0.6401,-2.8315,-2.8315,-1.1123
2024-07-25,중립,위험 경계,32,58,balanced,0.75,0.6,-29,normal,0,0,0,73.5,-0.4448,중립,위험 경계,38,52,balanced,0.6,-15,-0.4669,-0.6401,-0.1829,0.6834,-0.1829,-0.1829,-3.3987
2024-07-26,중립,중립,48,45,balanced,0.8,0.6,-11,normal,0,0,0,73.5,-0.1617,중립,중립,59,37,balanced,0.6,10,-0.1422,0.6834,-0.5501,-1.9935,-0.5501,-0.5501,-10.8999
2024-07-29,중립,위험 경계,47,47,balanced,0.75,0.6,-13,normal,0,0,0,73.5,-0.2437,중립,중립,58,38,balanced,0.6,8,-0.2318,-1.9935,-1.6963,0.5545,-1.6963,-1.6963,-11.6853
2024-07-30,중립,위험 경계,35,54,balanced,0.75,0.6,-24,normal,0,0,0,73.5,-0.4533,중립,중립,46,44,balanced,0.6,-4,-0.4841,0.5545,4.2434,1.3619,4.2434,4.2434,-8.6109
2024-07-31,중립,중립,51,41,balanced,0.8,0.6,-4,normal,0,0,0,73.5,-0.1069,중립,녹색 대기,65,31,balanced,0.6,26,-0.0585,1.3619,-5.0351,-7.248,-5.0351,-5.0351,-12.7305
2024-08-01,중립,위험 경계,35,55,balanced,0.75,0.6,-18,normal,0,0,0,73.5,-0.4323,중립,중립,44,46,balanced,0.6,-1,-0.4749,-7.248,-7.9339,-9.2543,-7.9339,-7.9339,-4.7404
2024-08-02,중립,위험 경계,27,68,balanced,0.75,0.6,-38,normal,1,0,0,73.5,-0.6945,중립,위험 경계,33,61,balanced,0.6,-23,-0.7467,-9.2543,-1.3692,6.1234,-1.3692,-1.3692,3.2819
2024-08-05,중립,위험 경계,21,78,stress,0.75,0.6,-67,elevated,3,1,0,73.5,-0.7215,중립,위험 경계,23,76,stress,0.6,-45,-0.7325,6.1234,1.8163,1.7982,1.8163,1.8163,6.2102
2024-08-06,중립,위험 경계,28,68,balanced,0.75,0.6,-41,elevated,3,0,0,73.5,-0.2154,중립,위험 경계,36,62,balanced,0.6,-23,-0.166,1.7982,-0.5633,-2.2115,-0.5633,-0.5633,5.5358
2024-08-07,중립,위험 경계,24,72,balanced,0.75,0.6,-58,normal,2,0,0,73.5,-0.5501,하락,약한 빨간색,29,67,balanced,0.2,-45,-0.5521,-2.2115,3.7281,3.0733,3.7281,3.7281,8.9924
2024-08-08,중립,위험 경계,39,55,balanced,0.75,0.6,-31,normal,0,0,0,73.5,-0.2984,중립,중립,54,44,balanced,0.6,-5,-0.2342,3.0733,-0.2389,1.0245,-0.2389,-0.2389,6.5619
