date,portfolioAction,portfolioScore,marketAction,marketScore,nextDayReturn,forwardReturn20d
2025-01-02,보유,20,홀딩,3,1.4747,3.2276
2025-01-03,분할 매수,36,신규 매수,26,2.3004,3.5924
2025-01-06,보유,39,홀딩,23,0.1044,0.7021
2025-01-07,보유,25,홀딩,6,-0.0039,0.047
2025-01-08,보유,35,홀딩,17,0.5319,0.7517
2025-01-10,보유,19,홀딩,1,-1.377,2.7765
2025-01-13,보유,4,홀딩,-4,0.291,3.5395
2025-01-14,보유,3,홀딩,-4,0.6763,3.2782
2025-01-15,보유,15,홀딩,3,2.019,4.4239
2025-01-16,보유,22,홀딩,8,1.5046,3.211
2025-01-17,보유,33,홀딩,21,-1.0653,0.5037
2025-01-21,보유,42,신규 매수,35,2.1819,-1.2263
2025-01-22,보유,52,신규 매수,46,-0.3849,-4.3608
2025-01-23,보유,38,신규 매수,33,0.8005,-4.0694
2025-01-24,보유,42,신규 매수,42,-3.6005,-4.9535
2025-01-27,보유,3,홀딩,3,-2.9797,-4.7251
2025-01-28,보유,19,홀딩,20,-2.9797,-4.7251
2025-01-29,보유,9,홀딩,11,-2.9797,-4.7251
2025-01-30,분할 매수,54,신규 매수,55,-2.9797,-4.7251
2025-01-31,분할 매수,42,신규 매수,41,-2.9797,-4.7251
2025-02-03,보유,10,홀딩,18,1.5439,-1.8739
2025-02-04,보유,17,홀딩,22,-0.0818,-2.5636
2025-02-05,보유,24,신규 매수,26,1.7926,-4.3972
2025-02-06,보유,27,신규 매수,29,-0.5052,-7.1319
2025-02-07,보유,17,홀딩,18,-0.4788,-6.683
2025-02-10,분할 매수,50,신규 매수,50,0.6571,-7.501
2025-02-11,분할 매수,51,신규 매수,54,0.8548,-7.2338
2025-02-12,분할 매수,42,신규 매수,42,1.0501,-7.1739
2025-02-13,분할 매수,49,신규 매수,57,-0.5013,-6.766
2025-02-14,보유,31,신규 매수,38,0.0574,-5.2906
2025-02-18,분할 매수,42,신규 매수,51,0.911,-6.9854
2025-02-19,분할 매수,56,신규 매수,61,-1.078,-7.0251
2025-02-20,분할 매수,62,신규 매수,65,-0.456,-6.5136
2025-02-21,분할 매수,45,신규 매수,45,-2.0928,-6.5164
2025-02-24,보유,26,신규 매수,29,-1.0461,-4.8556
2025-02-25,보유,1,홀딩,4,-0.1234,-3.5453
2025-02-26,보유,16,홀딩,16,-0.1643,-5.6726
2025-02-27,보유,-10,홀딩,-16,-3.3522,-7.1811
2025-02-28,보유,-14,홀딩,-7,-0.1073,-6.6412
2025-03-03,비중 축소,-28,매도,-27,0.8141,-5.7509
2025-03-04,비중 축소,-23,매도,-24,0.8141,-5.7509
2025-03-05,보유,-15,홀딩,-15,-1.9186,-6.8299
2025-03-06,비중 축소,-34,매도,-22,-1.1684,-6.3799
2025-03-07,비중 축소,-31,홀딩,-19,-0.0046,-7.5474
2025-03-10,비중 축소,-49,매도,-32,-1.385,-13.9482
2025-03-11,비중 축소,-52,매도,-37,0.9247,-10.5131
2025-03-12,보유,-12,홀딩,-14,0.9021,-13.2198
2025-03-13,보유,-15,홀딩,-16,1.5162,-7.6869
2025-03-14,보유,-13,홀딩,-15,1.0655,-9.7899
2025-03-17,보유,-15,홀딩,-19,0.2312,-10.2678
2025-03-18,비중 축소,-27,매도,-29,-0.3691,-9.7186
2025-03-19,보유,-7,홀딩,-6,0.9227,-11.4075
2025-03-20,보유,-7,홀딩,-8,-0.6035,-11.1068
2025-03-21,보유,-12,홀딩,-13,-0.3952,-10.7453
2025-03-24,보유,-5,홀딩,-2,-0.2793,-10.7512
2025-03-25,보유,-12,홀딩,-8,0.297,-11.8214
2025-03-26,보유,-18,홀딩,-17,-2.5372,-9.7279
2025-03-27,비중 축소,-21,매도,-20,-1.7917,-7.3043
2025-03-28,비중 축소,-29,매도,-29,-2.977,-3.1307
2025-03-31,비중 축소,-36,매도,-39,0.7866,-0.7375
2025-04-01,비중 축소,-33,매도,-35,-0.3632,0.115
2025-04-02,비중 축소,-36,매도,-37,-1.4586,-1.022
2025-04-03,비중 축소,-53,매도,-53,-2.558,1.2042
2025-04-04,비중 축소,-57,매도,-55,-7.476,4.9061
2025-04-07,비중 축소,-70,매도,-59,3.1675,14.6353
2025-04-08,비중 축소,-68,매도,-64,-2.3458,11.0762
2025-04-09,비중 축소,-75,매도,-53,8.0563,16.7973
2025-04-10,비중 축소,-58,매도,-55,-0.9198,9.1995
2025-04-11,비중 축소,-66,매도,-56,0.5142,13.1684
2025-04-14,비중 축소,-55,매도,-50,0.8136,11.1201
2025-04-15,비중 축소,-49,매도,-46,-2.3693,10.5374
2025-04-16,비중 축소,-60,매도,-57,1.1862,11.757
2025-04-17,비중 축소,-47,매도,-41,-0.3041,11.584
2025-04-21,비중 축소,-60,매도,-56,-1.5461,11.2099
2025-04-22,비중 축소,-59,매도,-45,2.7653,13.0308
2025-04-23,비중 축소,-52,매도,-38,0.0797,10.4126
2025-04-24,비중 축소,-48,매도,-31,2.6518,10.339
2025-04-25,보유,-17,홀딩,-12,-0.5914,8.4172
2025-04-28,비중 축소,-50,매도,-32,1.5291,10.578
2025-04-29,비중 축소,-26,매도,-22,-1.5436,7.0465
2025-04-30,비중 축소,-23,홀딩,-18,0.7525,8.3509
2025-05-01,비중 축소,-20,홀딩,-10,1.03,10.6505
2025-05-02,보유,-17,홀딩,-6,1.03,10.6505
2025-05-05,보유,-10,홀딩,10,0.551,10.6321
2025-05-06,보유,-13,홀딩,7,0.551,10.6321
2025-05-07,보유,16,신규 매수,34,0.551,10.6321
2025-05-08,보유,16,신규 매수,33,0.0689,10.9023
2025-05-09,보유,20,신규 매수,35,2.5148,12.2548
2025-05-12,보유,54,신규 매수,66,1.2537,10.7094
2025-05-13,보유,51,신규 매수,65,2.5917,8.8045
2025-05-14,보유,49,신규 매수,57,-1.2572,5.0485
2025-05-15,보유,51,신규 매수,65,0.3244,8.6673
2025-05-16,분할 매수,52,신규 매수,60,-1.3463,9.0434
2025-05-19,분할 매수,61,신규 매수,68,1.0121,11.2519
2025-05-20,분할 매수,58,신규 매수,68,-0.1506,10.7671
2025-05-21,분할 매수,50,신규 매수,55,-1.0915,10.9664
2025-05-22,분할 매수,46,신규 매수,58,-0.0668,12.1651
2025-05-23,분할 매수,45,신규 매수,57,0.4384,15.1329
2025-05-27,분할 매수,57,신규 매수,73,1.0749,15.3658
2025-05-28,분할 매수,57,신규 매수,69,1.3256,14.017
2025-05-29,분할 매수,63,신규 매수,72,-1.5435,13.7084
2025-05-30,분할 매수,59,신규 매수,68,-0.3836,15.3176
2025-06-02,분할 매수,62,신규 매수,70,2.8538,14.1312
2025-06-03,분할 매수,63,신규 매수,68,1.0595,11.1158
2025-06-04,분할 매수,69,신규 매수,72,1.0595,11.1158
2025-06-05,분할 매수,63,신규 매수,70,0.78,8.3273
2025-06-06,보유,58,신규 매수,67,1.2253,7.6127
2025-06-09,보유,59,신규 매수,65,1.2253,7.6127
2025-06-10,보유,57,신규 매수,63,1.1764,7.3496
2025-06-11,분할 매수,60,신규 매수,65,-0.4664,6.2654
2025-06-12,분할 매수,64,신규 매수,70,-0.8655,7.5356
2025-06-13,분할 매수,50,신규 매수,51,1.9974,8.731
2025-06-16,분할 매수,66,신규 매수,70,0.7396,6.6288
2025-06-17,분할 매수,56,신규 매수,55,0.5653,7.1672
2025-06-18,분할 매수,55,신규 매수,55,0.6347,6.7866
2025-06-20,분할 매수,51,신규 매수,48,-0.0255,5.6397
2025-06-23,분할 매수,57,신규 매수,59,2.4735,5.8018
2025-06-24,분할 매수,67,신규 매수,70,1.0557,1.5833
2025-06-25,분할 매수,63,신규 매수,63,-0.3812,0.1241
2025-06-26,분할 매수,64,신규 매수,64,-0.1026,0.9772
2025-06-27,분할 매수,67,신규 매수,66,1.0014,1.0941
2025-06-30,분할 매수,73,신규 매수,77,-0.1995,1.9952
2025-07-01,분할 매수,67,신규 매수,71,-1.3038,2.9036
2025-07-02,분할 매수,70,신규 매수,71,0.2963,4.11
2025-07-03,분할 매수,63,신규 매수,62,-1.3678,4.7339
2025-07-07,분할 매수,52,신규 매수,49,0.9832,3.2981
2025-07-08,분할 매수,60,신규 매수,58,0.1542,4.1999
2025-07-09,분할 매수,59,신규 매수,58,0.704,3.4922
2025-07-10,분할 매수,60,신규 매수,59,0.2243,2.8081
2025-07-11,분할 매수,58,신규 매수,54,0.0181,2.658
2025-07-14,분할 매수,53,신규 매수,50,1.2711,3.3124
2025-07-15,분할 매수,52,신규 매수,49,0.2096,1.4897
2025-07-16,분할 매수,52,신규 매수,48,-0.6264,2.404
2025-07-17,분할 매수,52,신규 매수,50,0.2503,2.5698
2025-07-18,분할 매수,52,신규 매수,50,0.1232,0.0933
2025-07-21,분할 매수,55,신규 매수,52,-1.5824,-0.6757
2025-07-22,분할 매수,51,신규 매수,50,-0.3868,-0.8676
2025-07-23,분할 매수,53,신규 매수,54,0.4187,-0.4
2025-07-24,분할 매수,58,신규 매수,59,0.0405,-0.1634
2025-07-25,분할 매수,62,신규 매수,64,1.8968,1.3938
2025-07-28,분할 매수,60,신규 매수,60,0.6908,-0.6183
2025-07-29,분할 매수,55,신규 매수,53,-0.1472,-0.9804
2025-07-30,분할 매수,57,신규 매수,61,0.7994,-1.0647
2025-07-31,분할 매수,52,신규 매수,56,-2.9923,-1.667
2025-08-01,보유,27,홀딩,24,0.3981,-0.5847
2025-08-04,분할 매수,50,신규 매수,53,1.8511,-0.5993
2025-08-05,보유,36,신규 매수,41,-0.5329,-1.9214
2025-08-06,분할 매수,42,신규 매수,46,0.0827,-1.422
2025-08-07,분할 매수,50,신규 매수,53,0.0521,-0.3347
2025-08-08,분할 매수,48,신규 매수,52,0.6936,-0.2449
