date,portfolioAction,portfolioConfidence,portfolioScore,portfolioCoverage,portfolioRecoveryScore,marketAction,marketConfidence,marketScore,marketRecoveryScore,nextDayReturn,forwardReturn5d,forwardReturn20d,forwardReturn60d
2025-01-02,보유,녹색 대기,18,79.3,0.0799,홀딩,중립,-3,0.0161,1.9549,6.1829,6.1944,-3.3952
2025-01-03,분할 매수,약한 녹색,36,79.3,0.2768,홀딩,녹색 대기,18,0.2573,2.9958,3.5683,6.6542,-7.9407
2025-01-06,보유,녹색 대기,40,79.3,0.3579,홀딩,녹색 대기,17,0.3193,0.2275,-1.0891,3.0106,-18.172
2025-01-07,보유,녹색 대기,25,79.3,0.1246,홀딩,중립,2,0.0266,0.091,-0.8393,2.1848,-15.6748
2025-01-08,보유,녹색 대기,33,79.3,0.2293,홀딩,중립,8,0.1552,0.7664,0.0719,3.0732,-18.0152
2025-01-09,보유,녹색 대기,32,79.3,0.2242,홀딩,중립,6,0.1443,-0.5055,1.9088,3.5356,-11.1467
2025-01-10,보유,녹색 대기,18,79.3,0.0529,홀딩,중립,-3,-0.0786,-1.6399,4.5455,5.6257,-11.4632
2025-01-13,보유,중립,3,79.3,-0.0535,홀딩,중립,-6,-0.199,0.4628,4.8121,6.5876,-9.3008
2025-01-14,보유,중립,3,79.3,-0.0733,홀딩,중립,-7,-0.2172,0.9485,4.7057,6.2582,-8.5925
2025-01-15,보유,녹색 대기,16,79.3,0.0554,홀딩,중립,3,-0.0443,2.6411,6.6838,7.7025,-11.9577
2025-01-16,보유,녹색 대기,23,79.3,0.0302,홀딩,중립,5,-0.0854,1.9926,3.5157,6.1734,-12.7844
2025-01-17,보유,녹색 대기,34,79.3,0.148,홀딩,녹색 대기,15,0.0594,-1.247,2.6161,2.7606,-14.6581
2025-01-20,보유,녹색 대기,36,79.3,0.1583,홀딩,녹색 대기,18,0.0885,0.3719,-0.6977,3.6061,-13.8048
2025-01-21,보유,녹색 대기,42,79.3,0.2626,신규 매수,약한 녹색,27,0.2151,2.8464,-4.6532,0.5797,-15.6644
2025-01-22,보유,녹색 대기,51,79.3,0.4478,신규 매수,약한 녹색,39,0.4474,-0.3893,-5.3994,-3.3717,-15.3518
2025-01-23,보유,녹색 대기,39,79.3,0.2949,신규 매수,약한 녹색,30,0.2531,1.105,-5.0745,-3.0044,-14.8422
2025-01-24,보유,녹색 대기,40,79.3,0.3707,신규 매수,약한 녹색,37,0.3422,-4.4429,-3.8818,-4.1189,-13.1639
2025-01-31,분할 매수,약한 녹색,36,79.3,0.4314,신규 매수,약한 녹색,31,0.4349,-3.6604,0.0431,-3.831,-9.907
2025-02-03,보유,중립,7,79.3,-0.0638,홀딩,녹색 대기,13,-0.0901,2.0422,3.3807,-0.2367,-4.6826
2025-02-04,보유,녹색 대기,13,79.3,0.0063,홀딩,녹색 대기,21,-0.0547,-0.0072,2.2521,-1.1061,-8.2168
2025-02-05,보유,녹색 대기,18,79.3,0.1178,신규 매수,약한 녹색,27,0.05,2.3556,3.368,-3.4175,-7.2807
2025-02-06,보유,녹색 대기,21,79.3,0.2331,신규 매수,약한 녹색,28,0.1573,-0.541,2.4272,-6.865,-8.1038
2025-02-07,보유,중립,12,79.3,0.0535,홀딩,녹색 대기,20,-0.0594,-0.5077,2.3934,-6.2991,-6.9486
2025-02-10,분할 매수,약한 녹색,43,79.3,0.5557,신규 매수,약한 녹색,38,0.5818,0.9243,3.103,-7.3303,-6.3059
2025-02-11,분할 매수,약한 녹색,44,79.3,0.4638,신규 매수,약한 녹색,43,0.4641,1.1735,4.5373,-6.9934,-4.3101
2025-02-12,분할 매수,약한 녹색,36,79.3,0.4451,신규 매수,약한 녹색,34,0.4641,1.4196,4.5605,-6.9179,-3.9976
2025-02-13,분할 매수,약한 녹색,42,79.3,0.6219,신규 매수,강한 녹색,49,0.6646,-0.536,1.8014,-6.4038,-2.4303
2025-02-14,보유,녹색 대기,25,79.3,0.3912,신규 매수,약한 녹색,36,0.3786,0.1683,1.8887,-4.5438,-3.1936
2025-02-17,보유,녹색 대기,25,79.3,0.32,신규 매수,약한 녹색,36,0.2911,2.3162,-0.8727,-4.3768,-2.7158
2025-02-18,분할 매수,약한 녹색,39,79.3,0.5555,신규 매수,강한 녹색,47,0.6068,1.2444,-4.1923,-6.6804,-6.4765
